場所,騎手,total_runs,wins,places,win_rate,place_rate
阪神,藤田弘治,2,0,0,0.0,0.0
阪神,藤田菜七,29,0,1,0.0,3.45
阪神,蛯名正義,72,5,12,6.94,16.67
阪神,西村太一,1,0,0,0.0,0.0
阪神,西村淳也,546,20,89,3.66,16.3
阪神,西田雄一,3,0,1,0.0,33.33
阪神,西谷凜,50,0,8,0.0,16.0
阪神,角田大和,244,10,39,4.1,15.98
阪神,角田大河,263,13,45,4.94,17.11
阪神,酒井学,1227,36,181,2.93,14.75
阪神,野中悠太,16,0,3,0.0,18.75
阪神,金山昇馬,2,0,0,0.0,0.0
阪神,長岡禎仁,173,5,18,2.89,10.4
阪神,難波剛健,19,0,0,0.0,0.0
阪神,高倉稜,680,28,91,4.12,13.38
阪神,高田潤,46,1,2,2.17,4.35
阪神,鮫島克駿,1109,69,223,6.22,20.11
阪神,鮫島良太,476,20,61,4.2,12.82
阪神,鴨宮祥行,3,0,0,0.0,0.0
阪神,鷲頭虎太,24,0,1,0.0,4.17
阪神,黒岩悠,13,0,1,0.0,7.69
阪神,黛弘人,2,0,0,0.0,0.0
阪神,Ｃ．デム,195,51,95,26.15,48.72
阪神,Ｍ．デム,771,165,368,21.4,47.73
